cd_nom	id_statut	id_habitat	id_rang	regne	phylum	classe	ordre	famille	sous_famille	tribu	cd_taxsup	cd_sup	cd_ref	lb_nom	lb_auteur	nom_complet	CD_NOM	CD_REF	Nom complet	nom_complet_html	nom_valide	nom_vern	nom_vern_eng	group1_inpn	group2_inpn	url
210809	P		GN	Animalia	Arthropoda	Hexapoda	Lepidoptera	Erebidae	Arctiinae	Syntomini	781957	781957	210809	Amata	Fabricius, 1807	Amata Fabricius, 1807			AUCUN INTERET (SAISIE AU GENRE)	<i>Amata</i> Fabricius, 1807	Amata Fabricius, 1807			Arthropodes	Insectes	
51501	P	3	ES	Animalia	Arthropoda	Hexapoda	Hemiptera	Miridae					237818	Charagochilus gyllenhali		Charagochilus gyllenhali 	237818	237818	Charagochilus gyllenhalii (Fallén, 1807) 	<i>Charagochilus gyllenhali</i>	Charagochilus gyllenhalii (Fallén, 1807)			Arthropodes	Insectes	https://inpn.mnhn.fr/espece/cd_nom/51501
307482	P	8	ES	Animalia	Arthropoda	Hexapoda	Ephemeroptera	Heptageniidae	Ecdyonurinae		192017	192017	307482	Ecdyonurus alpinus	Hefti, Tomka & Zurwerra, 1987	Ecdyonurus alpinus Hefti, Tomka & Zurwerra, 1987			PROBLEME CAR PAS EN FRANCE (je vais voir avec détreminateur)	<i>Ecdyonurus alpinus</i> Hefti, Tomka & Zurwerra, 1987	Ecdyonurus alpinus Hefti, Tomka & Zurwerra, 1987			Arthropodes	Insectes	https://inpn.mnhn.fr/espece/cd_nom/307482
660311	P	3	ES	Fungi	Ascomycota	Lecanoromycetes	Pertusariales	Megasporaceae			189542	189542	660311	Aspicilia aquatica	(Fr.) Körb. [nom cons.]	Aspicilia aquatica (Fr.) Körb. [nom cons.]	58440	660311	Aspicilia aquatica Körb.	<i>Aspicilia aquatica</i> (Fr.) Körb. [nom cons.]	Aspicilia aquatica (Fr.) Körb. [nom cons.]			Ascomycètes	Lichens	https://inpn.mnhn.fr/espece/cd_nom/660311
59627	P	3	ES	Fungi	Ascomycota	Lecanoromycetes	Teloschistales	Physciaceae					660184	Buellia epigaea	(Hoffm.) Tuck., 1872	Buellia epigaea (Hoffm.) Tuck., 1872	660184	660184	Buellia epigaea (Pers.) Tuck.	<i>Buellia epigaea</i> (Hoffm.) Tuck., 1872	Buellia epigaea (Pers.) Tuck.			Ascomycètes	Lichens	https://inpn.mnhn.fr/espece/cd_nom/59627
59359	P	3	ES	Fungi	Ascomycota	Lecanoromycetes	Teloschistales	Teloschistaceae					660132	Caloplaca coronata	(Kremp.) Steiner	Caloplaca coronata (Kremp.) Steiner	660132	660132	Caloplaca coronata (Kremp. ex Körb.) J. Steiner, 1919	<i>Caloplaca coronata</i> (Kremp.) Steiner	Caloplaca coronata (Kremp. ex Körb.) J. Steiner, 1919			Ascomycètes	Lichens	https://inpn.mnhn.fr/espece/cd_nom/59359
58777	P	3	ES	Fungi	Ascomycota	Lecanoromycetes	Candelariales	Candelariaceae					660062	Candelariella xanthostigma	(Pers.) Lettau	Candelariella xanthostigma (Pers.) Lettau	660062	660062	Candelariella xanthostigma (Pers. ex Ach.) Lettau, 1912	<i>Candelariella xanthostigma</i> (Pers.) Lettau	Candelariella xanthostigma (Ach.) Lettau			Ascomycètes	Lichens	https://inpn.mnhn.fr/espece/cd_nom/58777
55527	P	3	ES	Fungi	Ascomycota			Coniocybaceae					46137	Chaenotheca phaeocephala	(Turn.) Th. Fr.	Chaenotheca phaeocephala (Turn.) Th. Fr.	46137	46137	Chaenotheca phaeocephala (Turner) Th.Fr., 1861	<i>Chaenotheca phaeocephala</i> (Turn.) Th. Fr.	Chaenotheca phaeocephala (Turner) Th. Fr., 1861			Ascomycètes	Lichens	https://inpn.mnhn.fr/espece/cd_nom/55527
57725	P	3	VAR	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae					660806	Cladonia squamosa var. subsquamosa	(Nyl.) Th. Fr.	Cladonia squamosa var. subsquamosa (Nyl.) Th. Fr.	660806	660806	Cladonia squamosa var. subsquamosa (Nyl. ex Leight.) Vain., 1881	<i>Cladonia squamosa </i>var.<i> subsquamosa</i> (Nyl.) Th. Fr.	Cladonia squamosa var. subsquamosa (Nyl. ex Leight.) Vain., 1881			Ascomycètes	Lichens	https://inpn.mnhn.fr/espece/cd_nom/57725
57234	P	3	ES	Fungi	Ascomycota	Lecanoromycetes		Lecideaceae					653231	Clauzadea immersa	(Weber) Hafellner & Bellem.	Clauzadea immersa (Weber) Hafellner & Bellem.	653231	653231	Clauzadea immersa (Hoffm.) Hafellner & Bellem., 1984	<i>Clauzadea immersa</i> (Weber) Hafellner & Bellem.	Clauzadea immersa (Hoffm.) Hafellner & Bellem., 1984			Ascomycètes	Lichens	https://inpn.mnhn.fr/espece/cd_nom/57234
653233	P	3	ES	Fungi	Ascomycota	Lecanoromycetes		Lecideaceae			190898	190898	653233	Clauzadea monticola	(Schaer.) Hafellner & Bellem.	Clauzadea monticola (Schaer.) Hafellner & Bellem.	57226	653233	Clauzadea monticola (Ach.) Hafellner & Bellem., 1984	<i>Clauzadea monticola</i> (Schaer.) Hafellner & Bellem.	Clauzadea monticola (Schaer.) Hafellner & Bellem.			Ascomycètes	Lichens	https://inpn.mnhn.fr/espece/cd_nom/653233
58632	P	3	ES	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Lecanoraceae					659640	Lecanora intricata	(Schrad.) Ach.	Lecanora intricata (Schrad.) Ach.	659640	659640	Lecanora intricata (Ach.) Ach., 1810	<i>Lecanora intricata</i> (Schrad.) Ach.	Lecanora intricata (Ach.) Ach., 1810			Ascomycètes	Lichens	https://inpn.mnhn.fr/espece/cd_nom/58632
58608	P	3	ES	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Lecanoraceae					659618	Lecanora polytropa	(Ehrht.) Th. Fr.	Lecanora polytropa (Ehrht.) Th. Fr.	659618	659618	Lecanora polytropa (Hoffm.) Rabenh.	<i>Lecanora polytropa</i> (Ehrht.) Th. Fr.	Lecanora polytropa (Hoffm.) Rabenh.			Ascomycètes	Lichens	https://inpn.mnhn.fr/espece/cd_nom/58608
59887	P	3	ES	Fungi	Ascomycota	Lecanoromycetes	Teloschistales	Physciaceae					658458	Physcia caesia	(Hoffm.) Hampe	Physcia caesia (Hoffm.) Hampe	658458	658458	Physcia caesia (Hoffm.) Fürnr., 1839	<i>Physcia caesia</i> (Hoffm.) Hampe	Physcia caesia (Hoffm.) Fürnr., 1839			Ascomycètes	Lichens	https://inpn.mnhn.fr/espece/cd_nom/59887
58016	P	3	ES	Fungi	Ascomycota	Lecanoromycetes	Acarosporales	Acarosporaceae					521466	Sarcogyne privigna	(Ach.) Anzi	Sarcogyne privigna (Ach.) Anzi	521466	521466	Sarcogyne privigna (Ach.) A.Massal., 1854	<i>Sarcogyne privigna</i> (Ach.) Anzi	Sarcogyne privigna (Ach.) A.Massal., 1854			Ascomycètes	Lichens	https://inpn.mnhn.fr/espece/cd_nom/58016
57493	P	3	ES	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Ramalinaceae					653993	Toninia aromatica	(Turn.) A.Massal.	Toninia aromatica (Turn.) A.Massal.	653993	653993	Toninia aromatica (Sm.) A.Massal., 1855	<i>Toninia aromatica</i> (Turn.) A.Massal.	Toninia aromatica (Sm.) A.Massal., 1855			Ascomycètes	Lichens	https://inpn.mnhn.fr/espece/cd_nom/57493
436045	P	3	VAR	Plantae		Equisetopsida	Bryales	Bryaceae					5768	Bryum schleicheri var. latifolium	(Schwägr.) Schimp., 1876	Bryum schleicheri var. latifolium (Schwägr.) Schimp., 1876			PROBLEME CAR PAS EN FRANCE (donnée 1980, pas grave)	<i>Bryum schleicheri </i>var.<i> latifolium</i> (Schwägr.) Schimp., 1876	Bryum schleicheri DC.		Schleicher's Thread-moss	Bryophytes	Mousses	https://inpn.mnhn.fr/espece/cd_nom/436045
130781	P	7	SSES	Plantae		Equisetopsida	Ranunculales	Ranunculaceae					611926	Aconitum lycoctonum subsp. vulparia	(Rchb. ex Spreng.) Nyman	Aconitum lycoctonum subsp. vulparia (Rchb. ex Spreng.) Nyman	611926	611926	Aconitum lycoctonum subsp. vulparia (Rchb.) Nyman, 1889	<i>Aconitum lycoctonum </i>subsp.<i> vulparia</i> (Rchb. ex Spreng.) Nyman	Aconitum lycoctonum subsp. vulparia (Rchb.) Nyman, 1889	Coqueluchon jaune		Plantes vasculaires	Angiospermes	https://inpn.mnhn.fr/espece/cd_nom/130781
88729	P	7	ES	Plantae		Equisetopsida	Poales	Cyperaceae	Cyperoideae	Cariceae			88949	Carex oederi	sensu H.J.Coste, 1906 non Retz., 1779	Carex oederi sensu H.J.Coste, 1906 non Retz., 1779	88949	88949	Carex viridula Michx., 1803 	<i>Carex oederi</i> sensu H.J.Coste, 1906 non Retz., 1779	Carex viridula Michx., 1803	Laîche tardive, Carex tardif	Small-fruited Yellow-sedge	Plantes vasculaires	Angiospermes	https://inpn.mnhn.fr/espece/cd_nom/88729
91274	P	7	ES	Plantae		Equisetopsida	Asterales	Asteraceae					621080	Cirsium acaule	Scop., 1769	Cirsium acaule Scop., 1769	521682	621080	Cirsium acaule (L.) Scop., 1769	<i>Cirsium acaule</i> Scop., 1769	Cirsium acaulon (L.) Scop., 1769	Cirse sans tige	Dwarf Thistle	Plantes vasculaires	Angiospermes	https://inpn.mnhn.fr/espece/cd_nom/91274
93283	M	7	ES	Plantae		Equisetopsida	Asparagales	Iridaceae					133541	Crocus vernus	Sibth. & Sm., 1806	Crocus vernus Sibth. & Sm., 1806	93282	93282	Crocus vernus (L.) Hill, 1765	<i>Crocus vernus</i> Sibth. & Sm., 1806	Crocus sieberi subsp. sieberi J.Gay, 1831			Plantes vasculaires	Angiospermes	https://inpn.mnhn.fr/espece/cd_nom/93283
134199	P	7	SSES	Plantae		Equisetopsida	Asterales	Asteraceae					612619	Erigeron acer subsp. acer	L., 1753	Erigeron acer subsp. acer L., 1753	612619	612619	Erigeron acris subsp. acris L., 1753	<i>Erigeron acer </i>subsp.<i> acer</i> L., 1753	Erigeron acris subsp. acris L., 1753	Érigeron âcre		Plantes vasculaires	Angiospermes	https://inpn.mnhn.fr/espece/cd_nom/134199
134200	P	7	SSES	Plantae		Equisetopsida	Asterales	Asteraceae					612620	Erigeron acer subsp. angulosus	(Gaudin) Vacc., 1909	Erigeron acer subsp. angulosus (Gaudin) Vacc., 1909	612620	612620	Erigeron acris subsp. angulosus (Gaudin) Vacc., 1909	<i>Erigeron acer </i>subsp.<i> angulosus</i> (Gaudin) Vacc., 1909	Erigeron acris subsp. angulosus (Gaudin) Vacc., 1909	Vergerette anguleuse		Plantes vasculaires	Angiospermes	https://inpn.mnhn.fr/espece/cd_nom/134200
129337	P	7	ES	Plantae		Equisetopsida	Fabales	Fabaceae	Papilionoideae				97101	Vicia varia	(Brot.) Lacaita, 1921	Vicia varia (Brot.) Lacaita, 1921			VOIR AVEC ADELE – PAS GRAVE, vieille donnée, dét. Inconnu	<i>Vicia varia</i> (Brot.) Lacaita, 1921	Ervum gracile (Loisel.) DC., 1813	Vesce à fleurs lâches		Plantes vasculaires	Angiospermes	https://inpn.mnhn.fr/espece/cd_nom/129337
718810	P	7	FO	Plantae		Equisetopsida	Malpighiales	Euphorbiaceae			134362	134362	718810	Euphorbia dulcis f. incompta		Euphorbia dulcis f. incompta 	134362	134362	Euphorbia dulcis subsp. incompta (Ces.) Nyman, 1890	<i>Euphorbia dulcis </i>f.<i> incompta</i>	Euphorbia dulcis f. incompta 			Plantes vasculaires	Angiospermes	https://inpn.mnhn.fr/espece/cd_nom/718810
102097	P	7	ES	Plantae		Equisetopsida	Asterales	Asteraceae					717238	Hieracium juraniforme	Zahn, 1905	Hieracium juraniforme Zahn, 1905	521685	717238	Hieracium juraniforme (Zahn) Zahn, 1906	<i>Hieracium juraniforme</i> Zahn, 1905	Hieracium froelichianum H.Buek, 1840	Épervière		Plantes vasculaires	Angiospermes	https://inpn.mnhn.fr/espece/cd_nom/102097
717262	P	7	ES	Plantae		Equisetopsida	Asterales	Asteraceae			193276	193276	717262	Hieracium stauii	Belli, 1904	Hieracium stauii Belli, 1904			VOIR AVEC ADELE – voir avec CBN / Donnée Tison 2003	<i>Hieracium stauii</i> Belli, 1904	Hieracium stauii Belli, 1904			Plantes vasculaires	Angiospermes	https://inpn.mnhn.fr/espece/cd_nom/717262
106344	P	7	ES	Plantae		Equisetopsida	Malpighiales	Linaceae			194177	194177	106344	Linum suffruticosum	L., 1753	Linum suffruticosum L., 1753	161206	137383	Linum suffruticosum auct. non L., 1753	<i>Linum suffruticosum</i> L., 1753	Linum suffruticosum L., 1753	Lin souffré	White Flax	Plantes vasculaires	Angiospermes	https://inpn.mnhn.fr/espece/cd_nom/106344
107310	P	7	ES	Plantae		Equisetopsida	Malvales	Malvaceae	Malvoideae	Malveae			107284	Malva rotundifolia	L., 1754	Malva rotundifolia L., 1754	107311	107303	Malva rotundifolia L., 1753	<i>Malva rotundifolia</i> L., 1754	Malva neglecta Wallr., 1824	Petite mauve	Dwarf Mallow	Plantes vasculaires	Angiospermes	https://inpn.mnhn.fr/espece/cd_nom/107310
120914	P	7	ES	Plantae		Equisetopsida	Lamiales	Lamiaceae	Nepetoideae	Mentheae			108507	Satureja piperella	(All.) Bertol., 1845	Satureja piperella (All.) Bertol., 1845	108507	108507	Micromeria marginata (Sm.) Chater, 1971	<i>Satureja piperella</i> (All.) Bertol., 1845	Micromeria marginata (Sm.) Chater, 1971	Sariette marginée, Micromérie marginée		Plantes vasculaires	Angiospermes	https://inpn.mnhn.fr/espece/cd_nom/120914
108509	P	7	ES	Plantae		Equisetopsida	Lamiales	Lamiaceae	Nepetoideae	Mentheae			108507	Micromeria piperella	(All.) Benth., 1834	Micromeria piperella (All.) Benth., 1834	108507	108507	Micromeria marginata (Sm.) Chater, 1971	<i>Micromeria piperella</i> (All.) Benth., 1834	Micromeria marginata (Sm.) Chater, 1971	Sariette marginée, Micromérie marginée		Plantes vasculaires	Angiospermes	https://inpn.mnhn.fr/espece/cd_nom/108509
159484	P	3	ES	Plantae		Equisetopsida	Asparagales	Orchidaceae	Orchidoideae	Orchideae			110704	Ophrys saratoi	Camus	Ophrys saratoi Camus	110704	110704	Ophrys saratoi E.G.Camus, 1893	<i>Ophrys saratoi</i> Camus	Ophrys saratoi E.G.Camus, 1893	Ophrys du groupe bertolonii, Ophrys de la Drôme		Plantes vasculaires	Angiospermes	https://inpn.mnhn.fr/espece/cd_nom/159484
138551	P	7	SSES	Plantae		Equisetopsida	Ranunculales	Papaveraceae					718744	Papaver alpinum subsp. rhaeticum	sensu Kerguélen, 1993 non (Leresche) Nyman, 1878	Papaver alpinum subsp. rhaeticum sensu Kerguélen, 1993 non (Leresche) Nyman, 1878	1019754	1019754	Oreomecon alpina (L.) Banfi, Bartolucci, J.-M.Tison & Galasso, 2022 subsp. alpina	<i>Papaver alpinum </i>subsp.<i> rhaeticum</i> sensu Kerguélen, 1993 non (Leresche) Nyman, 1878	Papaver alpinum var. aurantiacum (Loisel.) B.Bock, 2012	Pavot velu du Ventoux		Plantes vasculaires	Angiospermes	https://inpn.mnhn.fr/espece/cd_nom/138551
112353	P	7	ES	Plantae		Equisetopsida	Ranunculales	Papaveraceae					718744	Papaver rhaeticum	sensu Tutin & al., 1964 non Leresche in Gremli, 1893	Papaver rhaeticum sensu Tutin & al., 1964 non Leresche in Gremli, 1893	1019754	1019754	Oreomecon alpina (L.) Banfi, Bartolucci, J.-M.Tison & Galasso, 2022 subsp. alpina	<i>Papaver rhaeticum</i> sensu Tutin & al., 1964 non Leresche <i>in</i> Gremli, 1893	Papaver alpinum var. aurantiacum (Loisel.) B.Bock, 2012	Pavot velu du Ventoux		Plantes vasculaires	Angiospermes	https://inpn.mnhn.fr/espece/cd_nom/112353
94798	P	7	ES	Plantae		Equisetopsida	Caryophyllales	Caryophyllaceae					112807	Dianthus prolifer	L., 1754	Dianthus prolifer L., 1754	94797	112808	Dianthus prolifer L., 1753	<i>Dianthus prolifer</i> L., 1754	Petrorhagia nanteuilii (Burnat) P.W.Ball & Heywood, 1964	Œillet de Nanteuil	Childing Pink	Plantes vasculaires	Angiospermes	https://inpn.mnhn.fr/espece/cd_nom/94798
113390	P	7	ES	Plantae		Equisetopsida	Asterales	Campanulaceae					138765	Phyteuma orbiculare	L., 1754	Phyteuma orbiculare L., 1754	113389	113389	Phyteuma orbiculare L., 1753	<i>Phyteuma orbiculare</i> L., 1754	Phyteuma orbiculare subsp. tenerum (R.Schulz) Braun-Blanq., 1933	Raiponce orbiculaire, Raiponce délicate		Plantes vasculaires	Angiospermes	https://inpn.mnhn.fr/espece/cd_nom/113390
115695	P	7	ES	Plantae		Equisetopsida	Rosales	Rosaceae					115498	Potentilla verna	sensu L., 1753	Potentilla verna sensu L., 1753	115694	115694	Potentilla verna L., 1753 	<i>Potentilla verna</i> sensu L., 1753	Potentilla grandiflora L., 1753	Potentille à grandes fleurs		Plantes vasculaires	Angiospermes	https://inpn.mnhn.fr/espece/cd_nom/115695
162642	P	7	ES	Plantae		Equisetopsida	Boraginales	Boraginaceae					116426	Pulmonaria affinis	sensu 2	Pulmonaria affinis sensu 2	116407	116407	Pulmonaria affinis Jord., 1854	<i>Pulmonaria affinis</i> sensu 2	Pulmonaria saccharata Mill., 1768	Pulmonaire saupoudrée, Pulmonaire d'Italie	Bethlehem-sage	Plantes vasculaires	Angiospermes	https://inpn.mnhn.fr/espece/cd_nom/162642
116744	P	3	ES	Plantae		Equisetopsida	Fagales	Fagaceae			197006	197006	116744	Quercus petraea	Liebl., 1784	Quercus petraea Liebl., 1784	521658	521658	Quercus petraea (Matt.) Liebl., 1784	<i>Quercus petraea</i> Liebl., 1784	Quercus petraea Liebl., 1784	Chêne sessile, Chêne rouvre, Chêne à trochets	Sessile Oak	Plantes vasculaires	Angiospermes	https://inpn.mnhn.fr/espece/cd_nom/116744
121356	P	7	ES	Plantae		Equisetopsida	Dipsacales	Caprifoliaceae					140710	Scabiosa hyrcanica	Steven, 1856	Scabiosa hyrcanica Steven, 1856			VOIR AVEC ADELE – je ne trouve pas la donnée associée	<i>Scabiosa hyrcanica</i> Steven, 1856	Scabiosa columbaria subsp. columbaria L., 1753	Scabieuse Colombaire		Plantes vasculaires	Angiospermes	https://inpn.mnhn.fr/espece/cd_nom/121356
125493	P	7	ES	Plantae		Equisetopsida	Asterales	Asteraceae			198226	198226	125493	Taraxacum alpinum	(Hoppe) Hegetschw., 1839	Taraxacum alpinum (Hoppe) Hegetschw., 1839			VOIR AVEC ADELE – données plus d’un siècle	<i>Taraxacum alpinum</i> (Hoppe) Hegetschw., 1839	Taraxacum alpinum (Hoppe) Hegetschw., 1839			Plantes vasculaires	Angiospermes	https://inpn.mnhn.fr/espece/cd_nom/125493
159832	P	7	ES	Plantae		Equisetopsida	Asterales	Asteraceae					141545	Senecio aurantiacus	sensu DC., 1838 non (Willd.) Less., 1834	Senecio aurantiacus sensu DC., 1838 non (Willd.) Less., 1834	122552	141545	Senecio aurantiacus auct. non (Hoppe ex Willd.) Less., 1834	<i>Senecio aurantiacus</i> sensu DC., 1838 non (Willd.) Less., 1834	Tephroseris integrifolia subsp. capitata (Wahlenb.) B.Nord., 1978	Séneçon à têtes		Plantes vasculaires	Angiospermes	https://inpn.mnhn.fr/espece/cd_nom/159832
615204	P	7	ES	Plantae		Equisetopsida	Asterales	Asteraceae					141545	Senecio aurantiacus	auct. non (Willd.) Less., 1834	Senecio aurantiacus auct. non (Willd.) Less., 1834	122552	141545	Senecio aurantiacus auct. non (Hoppe ex Willd.) Less., 1834	<i>Senecio aurantiacus</i> auct. non (Willd.) Less., 1834	Tephroseris integrifolia subsp. capitata (Wahlenb.) B.Nord., 1978	Séneçon à têtes		Plantes vasculaires	Angiospermes	https://inpn.mnhn.fr/espece/cd_nom/615204
141735	P	7	SSES	Plantae		Equisetopsida	Lamiales	Lamiaceae	Nepetoideae	Mentheae			126555	Thymus serpyllum subsp. glabrescens	sensu P.Fourn., 1938	Thymus serpyllum subsp. glabrescens sensu P.Fourn., 1938			VOIR AVEC ADELE – je ne trouve pas la donnée associée	<i>Thymus serpyllum </i>subsp.<i> glabrescens</i> sensu P.Fourn., 1938	Thymus oenipontanus Heinr.Braun, 1891	Thym glabrescent, Thym d'Innsbruck		Plantes vasculaires	Angiospermes	https://inpn.mnhn.fr/espece/cd_nom/141735
159898	P	7	ES	Plantae		Equisetopsida	Polypodiales	Aspleniaceae					131859	Asplenium quadrivallens	D.E.Mey.	Asplenium quadrivallens D.E.Mey.			VOIR AVEC ADELE – voir avec CBN / donnée Salanon 2010	<i>Asplenium quadrivallens</i> D.E.Mey.	Asplenium trichomanes subsp. quadrivalens D.E.Mey., 1964	Capillaire, Doradille fausse-capillaire		Plantes vasculaires	Fougères	https://inpn.mnhn.fr/espece/cd_nom/159898
772153	P	7	ES	Plantae		Equisetopsida	Selaginellales	Selaginellaceae					122308	Selaginella spinulosa	A.Braun ex Döll	Selaginella spinulosa A.Braun ex Döll	122310	122308	Selaginella spinulosa A.Braun, 1843	<i>Selaginella spinulosa</i> A.Braun ex Döll	Selaginella selaginoides (L.) P.Beauv. ex Schrank & Mart., 1829	Selaginelle fausse sélaginelle, Sélaginelle épineuse	Lesser Clubmoss	Plantes vasculaires	Fougères	https://inpn.mnhn.fr/espece/cd_nom/772153
113709	P	3	ES	Plantae		Equisetopsida	Pinales	Pinaceae					138840	Pinus uncinata	Mill. ex Mirb., 1805	Pinus uncinata Mill. ex Mirb., 1805	113708	138840	Pinus uncinata Ramond ex DC., 1805	<i>Pinus uncinata</i> Mill. ex Mirb., 1805	Pinus mugo subsp. uncinata (Ramond ex DC.) Domin, 1936	Pin à crochets		Plantes vasculaires	Gymnospermes	https://inpn.mnhn.fr/espece/cd_nom/113709
